numero_experimento;dataset;estructura_de_datos;cantidad_tweets;tiempo_ejecucion_us
1;auspol2019;ClosedDoubleHashing_user_screen_name;180000;47506
1;auspol2019;STLUnorderedMap_user_id;180000;38124
1;auspol2019;STLUnorderedMap_user_screen_name;180000;36965
2;auspol2019;Chaining_user_id;10000;2267
2;auspol2019;Chaining_user_screen_name;10000;2123
2;auspol2019;ClosedLinear_user_id;10000;2821
2;auspol2019;ClosedLinear_user_screen_name;10000;1819
2;auspol2019;ClosedQuadratic_user_id;10000;2180
2;auspol2019;ClosedQuadratic_user_screen_name;10000;1907
2;auspol2019;ClosedDoubleHashing_user_id;10000;3091
2;auspol2019;ClosedDoubleHashing_user_screen_name;10000;2847
2;auspol2019;STLUnorderedMap_user_id;10000;1858
2;auspol2019;STLUnorderedMap_user_screen_name;10000;1712
2;auspol2019;Chaining_user_id;20000;4327
2;auspol2019;Chaining_user_screen_name;20000;3959
2;auspol2019;ClosedLinear_user_id;20000;3450
2;auspol2019;ClosedLinear_user_screen_name;20000;3591
2;auspol2019;ClosedQuadratic_user_id;20000;3145
2;auspol2019;ClosedQuadratic_user_screen_name;20000;3135
2;auspol2019;ClosedDoubleHashing_user_id;20000;4800
2;auspol2019;ClosedDoubleHashing_user_screen_name;20000;4615
2;auspol2019;STLUnorderedMap_user_id;20000;3595
2;auspol2019;STLUnorderedMap_user_screen_name;20000;3391
2;auspol2019;Chaining_user_id;30000;5393
2;auspol2019;Chaining_user_screen_name;30000;7021
2;auspol2019;ClosedLinear_user_id;30000;5046
2;auspol2019;ClosedLinear_user_screen_name;30000;4468
2;auspol2019;ClosedQuadratic_user_id;30000;4737
2;auspol2019;ClosedQuadratic_user_screen_name;30000;4621
2;auspol2019;ClosedDoubleHashing_user_id;30000;7186
2;auspol2019;ClosedDoubleHashing_user_screen_name;30000;6999
2;auspol2019;STLUnorderedMap_user_id;30000;5188
2;auspol2019;STLUnorderedMap_user_screen_name;30000;4936
2;auspol2019;Chaining_user_id;40000;11982
